# File: FUT_EMISS_GV.csv,,,,,
# Title: add,,,,,
# Units: unknown,,,,,
# Comments: NA,,,,,
# Source:  unknown,,,,,
Species,Year,Emissions,Scenario,GDP,EF
HFC-32,2005,5.2936,SSP2,56713.85939,9.33E-05
HFC-32,2010,14.7798,SSP2,66937.02343,0.000220802
HFC-32,2020,84.581,SSP2,100352.5256,0.000842839
HFC-32,2030,193.2175,SSP2,141877.6769,0.00136186
HFC-32,2040,284.0154,SSP2,184488.1378,0.001539478
HFC-32,2050,354.6256,SSP2,229642.0627,0.001544254
HFC-32,2060,423.0247,SSP2,278748.8053,0.001517584
HFC-32,2070,493.0922,SSP2,334922.4751,0.001472258
HFC-32,2080,570.8879,SSP2,396503.0425,0.001439807
HFC-32,2090,650.1154,SSP2,463805.6115,0.001401698
HFC-32,2100,706.2202,SSP2,537072.6922,0.001314943
HFC-125,2005,14.7277,SSP2,56713.85939,0.000259684
HFC-125,2010,31.1159,SSP2,66937.02343,0.000464853
HFC-125,2020,135.6036,SSP2,100352.5256,0.001351272
HFC-125,2030,308.9928,SSP2,141877.6769,0.002177882
HFC-125,2040,460.5404,SSP2,184488.1378,0.002496314
HFC-125,2050,575.3916,SSP2,229642.0627,0.002505602
HFC-125,2060,683.0492,SSP2,278748.8053,0.002450411
HFC-125,2070,797.3696,SSP2,334922.4751,0.002380759
HFC-125,2080,927.3874,SSP2,396503.0425,0.002338916
HFC-125,2090,1062.9218,SSP2,463805.6115,0.00229174
HFC-125,2100,1181.5366,SSP2,537072.6922,0.002199957
HFC-134a,2005,115.4831,SSP2,56713.85939,0.002036241
HFC-134a,2010,154.3897,SSP2,66937.02343,0.002306492
HFC-134a,2020,244.4037,SSP2,100352.5256,0.002435451
HFC-134a,2030,341.5324,SSP2,141877.6769,0.002407231
HFC-134a,2040,425.1273,SSP2,184488.1378,0.002304361
HFC-134a,2050,498.6767,SSP2,229642.0627,0.002171539
HFC-134a,2060,563.6787,SSP2,278748.8053,0.002022174
HFC-134a,2070,626.1385,SSP2,334922.4751,0.001869503
HFC-134a,2080,694.815,SSP2,396503.0425,0.001752357
HFC-134a,2090,770.9157,SSP2,463805.6115,0.001662153
HFC-134a,2100,854.9377,SSP2,537072.6922,0.001591847
HFC-143a,2005,13.6036,SSP2,56713.85939,0.000239864
HFC-143a,2010,19.2954,SSP2,66937.02343,0.000288262
HFC-143a,2020,58.7408,SSP2,100352.5256,0.000585345
HFC-143a,2030,132.0168,SSP2,141877.6769,0.000930497
HFC-143a,2040,203.8833,SSP2,184488.1378,0.00110513
HFC-143a,2050,256.6783,SSP2,229642.0627,0.001117732
HFC-143a,2060,303.3736,SSP2,278748.8053,0.00108834
HFC-143a,2070,355.7117,SSP2,334922.4751,0.001062072
HFC-143a,2080,417.288,SSP2,396503.0425,0.001052421
HFC-143a,2090,483.6122,SSP2,463805.6115,0.001042705
HFC-143a,2100,557.2441,SSP2,537072.6922,0.001037558
HFC-152a,2005,32.6342,SSP2,56713.85939,0.000575418
HFC-152a,2010,47.5831,SSP2,66937.02343,0.000710864
HFC-152a,2020,62.8945,SSP2,100352.5256,0.000626736
HFC-152a,2030,81.3435,SSP2,141877.6769,0.000573335
HFC-152a,2040,94.7924,SSP2,184488.1378,0.000513813
HFC-152a,2050,104.2858,SSP2,229642.0627,0.000454123
HFC-152a,2060,108.4024,SSP2,278748.8053,0.000388889
HFC-152a,2070,107.9557,SSP2,334922.4751,0.00032233
HFC-152a,2080,106.4673,SSP2,396503.0425,0.000268516
HFC-152a,2090,104.1768,SSP2,463805.6115,0.000224613
HFC-152a,2100,101.5111,SSP2,537072.6922,0.000189008
HFC-227ea,2005,0.9458,SSP2,56713.85939,1.67E-05
HFC-227ea,2010,2.4818,SSP2,66937.02343,3.71E-05
HFC-227ea,2020,4.3151,SSP2,100352.5256,4.30E-05
HFC-227ea,2030,6.9741,SSP2,141877.6769,4.92E-05
HFC-227ea,2040,9.4399,SSP2,184488.1378,5.12E-05
HFC-227ea,2050,11.5969,SSP2,229642.0627,5.05E-05
HFC-227ea,2060,12.845,SSP2,278748.8053,4.61E-05
HFC-227ea,2070,13.0037,SSP2,334922.4751,3.88E-05
HFC-227ea,2080,12.8054,SSP2,396503.0425,3.23E-05
HFC-227ea,2090,12.3673,SSP2,463805.6115,2.67E-05
HFC-227ea,2100,11.8174,SSP2,537072.6922,2.20E-05
HFC-236fa,2005,0.1913,SSP2,56713.85939,3.37E-06
HFC-236fa,2010,0.2161,SSP2,66937.02343,3.23E-06
HFC-236fa,2020,0.2733,SSP2,100352.5256,2.72E-06
HFC-236fa,2030,0.4113,SSP2,141877.6769,2.90E-06
HFC-236fa,2040,0.566,SSP2,184488.1378,3.07E-06
HFC-236fa,2050,0.7219,SSP2,229642.0627,3.14E-06
HFC-236fa,2060,0.8594,SSP2,278748.8053,3.08E-06
HFC-236fa,2070,0.9467,SSP2,334922.4751,2.83E-06
HFC-236fa,2080,0.9906,SSP2,396503.0425,2.50E-06
HFC-236fa,2090,1.0016,SSP2,463805.6115,2.16E-06
HFC-236fa,2100,0.99,SSP2,537072.6922,1.84E-06
HFC-245fa,2005,3.3389,SSP2,56713.85939,5.89E-05
HFC-245fa,2010,6.2832,SSP2,66937.02343,9.39E-05
HFC-245fa,2020,18.315,SSP2,100352.5256,0.000182507
HFC-245fa,2030,40.574,SSP2,141877.6769,0.000285979
HFC-245fa,2040,63.5302,SSP2,184488.1378,0.000344359
HFC-245fa,2050,83.5855,SSP2,229642.0627,0.000363982
HFC-245fa,2060,102.8316,SSP2,278748.8053,0.000368904
HFC-245fa,2070,123.3004,SSP2,334922.4751,0.000368146
HFC-245fa,2080,145.165,SSP2,396503.0425,0.000366113
HFC-245fa,2090,169.1132,SSP2,463805.6115,0.000364621
HFC-245fa,2100,193.4792,SSP2,537072.6922,0.000360248
HFC-365mfc,2005,2.7012,SSP2,56713.85939,4.76E-05
HFC-365mfc,2010,2.764,SSP2,66937.02343,4.13E-05
HFC-365mfc,2020,9.7458,SSP2,100352.5256,9.71E-05
HFC-365mfc,2030,28.0742,SSP2,141877.6769,0.000197876
HFC-365mfc,2040,48.1861,SSP2,184488.1378,0.000261188
HFC-365mfc,2050,66.1607,SSP2,229642.0627,0.000288104
HFC-365mfc,2060,83.8313,SSP2,278748.8053,0.000300741
HFC-365mfc,2070,103.0429,SSP2,334922.4751,0.000307662
HFC-365mfc,2080,123.9205,SSP2,396503.0425,0.000312534
HFC-365mfc,2090,147.15,SSP2,463805.6115,0.000317267
HFC-365mfc,2100,171.034,SSP2,537072.6922,0.000318456
HFC-43-10mee,2005,0.6061,SSP2,56713.85939,1.07E-05
HFC-43-10mee,2010,0.8539,SSP2,66937.02343,1.28E-05
HFC-43-10mee,2020,0.9758,SSP2,100352.5256,9.72E-06
HFC-43-10mee,2030,1.0273,SSP2,141877.6769,7.24E-06
HFC-43-10mee,2040,1.0711,SSP2,184488.1378,5.81E-06
HFC-43-10mee,2050,1.1072,SSP2,229642.0627,4.82E-06
HFC-43-10mee,2060,1.1392,SSP2,278748.8053,4.09E-06
HFC-43-10mee,2070,1.1646,SSP2,334922.4751,3.48E-06
HFC-43-10mee,2080,1.1801,SSP2,396503.0425,2.98E-06
HFC-43-10mee,2090,1.1848,SSP2,463805.6115,2.55E-06
HFC-43-10mee,2100,1.1793,SSP2,537072.6922,2.20E-06
Alt_A,2005,0,SSP2,56713.85939,0
Alt_A,2010,0,SSP2,66937.02343,0
Alt_A,2020,27.4626,SSP2,100352.5256,0.000273661
Alt_A,2030,104.7815,SSP2,141877.6769,0.000738534
Alt_A,2040,187.7844,SSP2,184488.1378,0.001017867
Alt_A,2050,258.8299,SSP2,229642.0627,0.001127101
Alt_A,2060,328.4457,SSP2,278748.8053,0.001178286
Alt_A,2070,404.757,SSP2,334922.4751,0.00120851
Alt_A,2080,489.875,SSP2,396503.0425,0.001235489
Alt_A,2090,583.0245,SSP2,463805.6115,0.001257045
Alt_A,2100,675.9627,SSP2,537072.6922,0.001258606
Alt_B,2005,0,SSP2,56713.85939,0
Alt_B,2010,0,SSP2,66937.02343,0
Alt_B,2020,0,SSP2,100352.5256,0
Alt_B,2030,0,SSP2,141877.6769,0
Alt_B,2040,0,SSP2,184488.1378,0
Alt_B,2050,0,SSP2,229642.0627,0
Alt_B,2060,0,SSP2,278748.8053,0
Alt_B,2070,0,SSP2,334922.4751,0
Alt_B,2080,0,SSP2,396503.0425,0
Alt_B,2090,0,SSP2,463805.6115,0
Alt_B,2100,0,SSP2,537072.6922,0
Alt_C,2005,0,SSP2,56713.85939,0
Alt_C,2010,0,SSP2,66937.02343,0
Alt_C,2020,0,SSP2,100352.5256,0
Alt_C,2030,0,SSP2,141877.6769,0
Alt_C,2040,0,SSP2,184488.1378,0
Alt_C,2050,0,SSP2,229642.0627,0
Alt_C,2060,0,SSP2,278748.8053,0
Alt_C,2070,0,SSP2,334922.4751,0
Alt_C,2080,0,SSP2,396503.0425,0
Alt_C,2090,0,SSP2,463805.6115,0
Alt_C,2100,0,SSP2,537072.6922,0
Alt_D,2005,0,SSP2,56713.85939,0
Alt_D,2010,0,SSP2,66937.02343,0
Alt_D,2020,0,SSP2,100352.5256,0
Alt_D,2030,0,SSP2,141877.6769,0
Alt_D,2040,0,SSP2,184488.1378,0
Alt_D,2050,0,SSP2,229642.0627,0
Alt_D,2060,0,SSP2,278748.8053,0
Alt_D,2070,0,SSP2,334922.4751,0
Alt_D,2080,0,SSP2,396503.0425,0
Alt_D,2090,0,SSP2,463805.6115,0
Alt_D,2100,0,SSP2,537072.6922,0
Alt_E,2005,0,SSP2,56713.85939,0
Alt_E,2010,0,SSP2,66937.02343,0
Alt_E,2020,0,SSP2,100352.5256,0
Alt_E,2030,0,SSP2,141877.6769,0
Alt_E,2040,0,SSP2,184488.1378,0
Alt_E,2050,0,SSP2,229642.0627,0
Alt_E,2060,0,SSP2,278748.8053,0
Alt_E,2070,0,SSP2,334922.4751,0
Alt_E,2080,0,SSP2,396503.0425,0
Alt_E,2090,0,SSP2,463805.6115,0
Alt_E,2100,0,SSP2,537072.6922,0
